INFO: 2020-02-29 17:45:49,846  A new user added to table users jerry569
INFO: 2020-02-29 17:46:09,787  A new user added to table users jerry568
INFO: 2020-02-29 17:46:54,322  A new user added to table users jerry55
INFO: 2020-02-29 17:50:34,173  A new user added to table users jerry589
INFO: 2020-02-29 18:31:58,733  A new user added to table users jum.156
INFO: 2020-02-29 19:34:49,358  table face created
INFO: 2020-02-29 19:34:49,853  A new face added to table face  Will Smith
WARNING: 2020-02-29 19:36:40,467 insert into database  unknown Unknown20-02-29-19:36:40
WARNING: 2020-02-29 19:36:40,467 insert into database  unknown Unknown20-02-29-19:36:40
WARNING: 2020-02-29 19:36:42,262 insert into database  unknown Unknown20-02-29-19:36:42
WARNING: 2020-02-29 19:36:42,262 insert into database  unknown Unknown20-02-29-19:36:42
WARNING: 2020-02-29 19:36:43,562 insert into database  unknown Unknown20-02-29-19:36:43
WARNING: 2020-02-29 19:36:43,562 insert into database  unknown Unknown20-02-29-19:36:43
INFO: 2020-02-29 19:41:33,765  table face created
INFO: 2020-02-29 19:41:33,862  table check_table created
INFO: 2020-02-29 19:41:33,920  table users created
INFO: 2020-02-29 19:41:33,977  table unknown created
INFO: 2020-02-29 19:41:34,049  table usergroups created
WARNING: 2020-02-29 19:41:35,743 insert into database  unknown Unknown20-02-29-19:41:35
WARNING: 2020-02-29 19:41:35,743 insert into database  unknown Unknown20-02-29-19:41:35
INFO: 2020-02-29 19:45:09,259  A new face added to table face  Modea Kong
INFO: 2020-02-29 19:45:09,617  A new face added to table face  Jun Wang
INFO: 2020-02-29 19:45:10,026  A new face added to table face  Vincent Saban
INFO: 2020-02-29 19:45:10,336  A new face added to table face  Donald Trump
INFO: 2020-02-29 19:45:10,884 insert into database check_table Jun.Wang
INFO: 2020-02-29 19:45:10,884 insert into database check_table Jun.Wang
WARNING: 2020-02-29 19:47:00,845 insert into database  unknown Unknown20-02-29-19:47:00
WARNING: 2020-02-29 19:47:00,845 insert into database  unknown Unknown20-02-29-19:47:00
WARNING: 2020-02-29 19:47:10,551 insert into database  unknown Unknown20-02-29-19:47:10
WARNING: 2020-02-29 19:47:10,551 insert into database  unknown Unknown20-02-29-19:47:10
WARNING: 2020-02-29 19:47:10,705 insert into database  unknown Unknown20-02-29-19:47:10
WARNING: 2020-02-29 19:47:10,705 insert into database  unknown Unknown20-02-29-19:47:10
CRITICAL: 2020-02-29 19:47:10,863 insert into database check_table Donald.Trump
CRITICAL: 2020-02-29 19:47:10,863 insert into database check_table Donald.Trump
INFO: 2020-03-05 23:32:03,393  A new user added to table users jun.wang
INFO: 2020-03-10 22:21:41,684  A new user added to table users jerry123123
INFO: 2020-03-10 22:28:13,287  table face created
INFO: 2020-03-10 22:28:13,510  A new face added to table face  Modea Kong
INFO: 2020-03-10 22:28:13,905  A new face added to table face  Jun Wang
INFO: 2020-03-10 22:28:14,318  A new face added to table face  Vincent Saban
INFO: 2020-03-10 22:28:14,637  A new face added to table face  Donald Trump
INFO: 2020-03-10 22:28:15,182 insert into database check_table Jun.Wang
INFO: 2020-03-10 22:28:15,182 insert into database check_table Jun.Wang
WARNING: 2020-03-10 22:28:15,479 insert into database  unknown Unknown20-03-10-22:28:15
WARNING: 2020-03-10 22:28:15,479 insert into database  unknown Unknown20-03-10-22:28:15
INFO: 2020-03-18 21:47:51,140 insert into database check_table Jun.Wang
